Date Received - DPS,Action Date,Requisition Number,Description of Good or Services,Vendor Name,Department Name,Requisition Amount,Justification,Approved/Denied,Request for New Contract/Mod,Requisition# for New Contract/Mod,Contract Awarded?,Contract Number Awarded,Check BPA,Exhibit B Status,Procurement Process Phase
2025-10-22 08:31:27,2025-10-22,695175,Water Services,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,466.52,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-10-31 08:08:44,2025-10-31,696991,water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,158.86,6. Bid Protest - Contract Award under Review,APPROVED,Yes,00000,No,00000,Yes,Completed,D. Solicitation Response Under Evaluation
2025-10-31 10:56:21,2025-10-31,697057,Water Services,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,9702.22,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-11-05 09:01:58,2025-11-06,697787,"#2 Invoices $1,873.90   WATER INVOICES FOR SEPTEMBER 2025  #05J6710421194  $235.45  & #15J0122238496  $1,638.45",BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,1873.9,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2025-11-13 15:49:15,2025-11-13,699135,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,469.91,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2025-11-14 11:16:51,2025-11-18,699269,Ice Mountain Brand drinking water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,42.74,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,000000,Yes,Completed,B. City Law Review
2025-11-17 13:36:05,2025-11-18,699483,Bottle Water for Human Services Center,BLUETRITON BRANDS INC,50-DEPARTMENT OF FAMILY AND SUPPORT SERVICES,9730.5,1. Pending New Contract - Original Contract Expired. New Contract in Process,DENIED,No,511569,No,30043,Yes,Completed,A. Specification Development Phase
2025-11-25 07:51:35,2025-11-25,701089,water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,73.43,6. Bid Protest - Contract Award under Review,APPROVED,Yes,00000,No,00000,Yes,Completed,D. Solicitation Response Under Evaluation
2025-12-02 10:40:25,2025-12-03,701870,Ice Mountain Brand drinking water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,1269.33,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,000000,Yes,Completed,B. City Law Review
2025-12-02 12:13:11,2025-12-03,701918,Water Services,HINCKLEY SPRINGS,57-CHICAGO POLICE DEPARTMENT,103.91,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-02 12:18:37,2025-12-03,701920,Water Services,HINCKLEY SPRINGS,57-CHICAGO POLICE DEPARTMENT,69.93,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-03 15:08:32,2025-12-03,702260,"#2 Invoices  $2,401.89  NEED TO PAY WATER INVOICES FOR OCTOBER 2025.Inv#  05K6710421194  $193.45 &Inv#  15K0122238496  $2,208.44",BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,2401.89,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,Yes,Completed,A. Specification Development Phase
2025-12-04 10:43:55,2025-12-04,702392,Bottle Water for Human Services Center,BLUETRITON BRANDS INC,50-DEPARTMENT OF FAMILY AND SUPPORT SERVICES,9730.5,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,511569,No,30043,Yes,Completed,A. Specification Development Phase
2025-12-10 10:01:45,2025-12-11,703476,"FFIB Hinkley Springs Primo $13,921.58","DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,13921.58,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,C. Solicitation or Bidding Phase
2025-12-10 17:51:04,2025-12-11,703689,"WATER, BOTTLED - DRINKING WATER IN 5 GAL. BOTTLES",BLUETRITON BRANDS INC,84-CHICAGO DEPARTMENT OF TRANSPORTATION,361.12,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-12 10:17:51,2025-12-12,703972,Water Services,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,409.55,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-12 10:25:05,2025-12-12,703974,Water Services,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,446.51,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-15 12:35:39,2025-12-17,704302,Water Services,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,8411.2,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-15 13:43:24,2025-12-17,704329,"FFIB Hinkley Springs Primo $14,662.36","DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,14662.36,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-16 16:10:09,2025-12-17,704741,Monthly Drinking Water Services at City of Chicago Salvage Operations November 2025,BLUETRITON BRANDS INC,35-DEPARTMENT OF PROCUREMENT SERVICES,35.97,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,Yes,30043,Yes,Completed,A. Specification Development Phase
2025-12-18 12:58:18,2025-12-18,705094,water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,94.43,6. Bid Protest - Contract Award under Review,APPROVED,Yes,00000,No,00000,Yes,Completed,D. Solicitation Response Under Evaluation
2025-12-19 15:21:35,2025-12-22,705485,Ice Mountain Brand drinking water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,21.37,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,000000,Yes,Completed,B. City Law Review
2025-12-23 12:19:30,2025-12-24,705888,"FFIB Hinkley Springs Primo $11,657.39","DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,11657.39,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,C. Solicitation or Bidding Phase
2025-12-26 08:31:27,2026-01-06,704558,Water Services,HINCKLEY SPRINGS,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,638.39,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2025-12-30 13:57:13,2025-12-30,706749,WATER - DRINKING,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,545.12,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,,Yes,Completed,A. Specification Development Phase
2026-01-08 12:36:44,2026-01-09,707742,INV# 05L6710421194Account Number: 6710421194CHICAGO DEPT OF AVIATION - 5TH FLOOR8420 W BRYN MAWR AVEINV# 15L0122238496Account Number: 0122238496CITY OF CHICAGO DEPT OF AVIATION 10601 W HIGGINS RD,BLUETRITON BRANDS INC,85-CHICAGO DEPARTMENT OF AVIATION,2013.39,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,NO,Yes,Completed,A. Specification Development Phase
2026-01-14 09:14:12,2026-01-14,708470,Water Services,"DS Services of America, Inc.",59-CHICAGO FIRE DEPARTMENT,3551.22,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,676831,No,,Yes,Completed,A. Specification Development Phase
2026-01-21 13:57:38,2026-01-23,709701,water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,119.45,6. Bid Protest - Contract Award under Review,APPROVED,Yes,00000,No,00000,Yes,Completed,D. Solicitation Response Under Evaluation
