pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
"Specification No. 219414: CITYWIDE IRRIGATION SYSTEM, MAINTENANCE, REPAIR, DESIGN AND INSTALLATION GROUP A: NORTH REGION; GROUP B: CENTRAL REGION; GROUP C: SOUTH REGION, AND GROUP D: LAKE SHORE DRIVE",exact,"Landscaping, Grounds & Irrigation",906,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=395): Specification explicitly covers irrigation system design and installation services across multiple city regions, which m"
PAVEMENT JOINT SEALING AND SAW CUTTING AT O'HARE AND MIDWAY INTERNATIONAL AIRPORTS (SPEC 324551),exact,Construction & Trades Services,815,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=392): Pavement joint sealing and saw cutting are specialized construction repair services; NIGP 815 covers inspection, cleanin"
"REPAIR, REPLACEMENT, AND INSTALLATION OF GLASS AND GLAZIER",exact,Vehicles & Fleet,929,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=390): Glazier work for glass repair and installation is a construction trade service; NIGP 929 explicitly covers windshield an  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
ACCEPTANCE AND PROCESSING OF MUNICIPAL SOLID WASTE DELIVERED BY THE CITY OF CHICAGO AT PRIVATELY OWNED TRANSFER STATIONS,exact,"Janitorial, Sanitation & Waste",968,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=387): Municipal solid waste processing at transfer stations is a waste disposal service, directly matching NIGP class 968 (Dis"
"Grant Agreement, IAP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=382): IAP (likely Intergovernmental Agreement for Pass-through/grant) indicates a subgrant or grant disbursement requiring no "
"INSTALLATION, REPAIR AND REPLACEMENT OF VARIOUS ELECTRICAL, LIGHTING, TRAFFIC CONTROL, SECURITY, AUDIO-VIDEO AND PUBLIC ADDRESS SYSTEMS INFRASTRUCTURE AT CHICAGO O'HARE AND MIDWAY INTERNATIONAL AIRPORTS",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=347): This is airport facilities maintenance and repair of audio/visual systems and infrastructure components, directly matchi  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"1254623: ASPHALT NORTHEAST - ASPHALT PRIMERS, HOT/WARM MIX ASPHALT, HIGH PERFORMANCE/STANDARD COLD PATCH, HOT POUR JOINT SEALER MATERIALS, FURNISH & DELIVER",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=343): This is a direct supply of hot mix asphalt materials (primers, cold patch, joint sealer) for construction work, matching  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"NEW PAINT SPRAYERS, PRESSURE WASHERS, RELATED PARTS, ACCESSORIES, EQUIPMENT & REPAIR SERVICES (GROUP A, B AND C)",exact,Heavy Equipment & Machinery,630,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=342): Paint sprayers and pressure washers are core facilities maintenance equipment; NIGP 630 explicitly covers 'PAINT SPRAYER  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1217521: Neighborhood Capital Improvement Contract (NCI) - Central Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=324): NCI contract is a subgrant/pass-through funding mechanism for neighborhood improvement projects, not a direct commodity "
"Grant Agreement, CityArts",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=320): Grant Agreement is a subgrant disbursement to an external organization (CityArts), which falls under the Grants & Pass-T"
"DUCTILE IRON PUSH-ON, DUCTILE IRON RESTRAINED & MECHANICAL JOINT WATER PIPE",exact,Construction Materials,670,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=309): Water pipe with push-on joint specifications directly matches NIGP class 670 for water pipes with push-on joints.  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1217522: Neighborhood Capital Improvement Contract (NCI) - Southeast Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=308): NCI contracts are subgrant disbursements to neighborhoods for capital improvements, making this a pass-through funding m"
"PAVEMENT STRIPING OF RUNWAYS, TAXIWAYS AND ROADWAYS FOR THE CHICAGO DEPARTMENT OF AVIATION (SPEC NO. 527437)",exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=299): Pavement striping for airport runways, taxiways, and roadways is a specialized construction and trades service; NIGP 913"
"WEATHER FORECASTING, ALERTS AND DATA SERVICES FOR THE CHICAGO DEPARTMENT OF AVIATION AND THE OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS (Spec 526844)",exact,Professional & Administrative Services,961,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=293): Weather forecasting services are professional services for city aviation and emergency management operations, matching N"
Supply and Deliver Topsoli - Reference Contract,exact,"Landscaping, Grounds & Irrigation",790,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=286): Topsoil is a landscaping material used for grounds preparation and landscaping work, matching NIGP 790 (Soil, Top - Blac"
SPEC 1265568: Supply and Deliver Topsoil,exact,"Landscaping, Grounds & Irrigation",790,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=273): Topsoil is a landscaping material used for grounds preparation and restoration, clearly matching NIGP 790 (SOIL, TOP - B"
MEDIAN AND BOULEVARD LANDSCAPE MAINTENANCE AND SERVICES- CENTRAL REGION,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=272): Median and boulevard maintenance is comprehensive landscape services directly matching NIGP 988 (COMPREHENSIVE LANDSCAPE"
1209124: CONSUMABLE LIBRARY SUPPLIES (GROUPS B & D),exact,Professional & Administrative Services,525,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=272): NIGP 525 specifically covers 'LABOR, LIBRARY - LABOR FOR MINIMAL ASSEMBLY OF LIBRARY CONSUMABLE SUPPLIES' and directly m  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
MAINTENANCE REPAIR AND UPFIT FOR CITY OWNED VEHICLES AND EQUIPMENT,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=266): Vehicle maintenance and repair services directly align with fleet management, and NIGP 928 specifically covers vehicle r"
MEDIAN AND BOULEVARD LANDSCAPE MAINTENANCE AND SERVICES - SOUTHEAST REGION,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=237): Median and boulevard maintenance is comprehensive landscape services for a specific region, matching NIGP 988 definition"
"OPERATION AND MAINTENANCE OF AIRPORT TRANSIT SYSTEM (ATS) at O'HARE, Spec# 92543, Req# 55032, RFQ# 3593",exact,Facilities Operations & Maintenance,909,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=236): O'Hare airport facility operation and maintenance service directly matches NIGP 909 (AIRPORT FACILITY MAINT. & REPAIR) a"
"ASPHALT OVERLAY AND PATCHING, PAVEMENT GROOVING AND GRINDING, CORING, COLD PATCH, AND HEATED SAND FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=230): Asphalt overlay, patching, and related pavement work are construction/trades services; NIGP 745 (Hot Mix Asphalt) is the  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"PREVENTATIVE MAINTENANCE, REPAIRS AND REPLACEMENT OF AUTOMATIC DOORS AT CHICAGO O'HARE INTERNATIONAL AIRPORT",exact,Facilities Operations & Maintenance,557,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=229): Automatic door preventative maintenance, repairs and replacement at O'Hare facility matches NIGP 557 (warranty/service f"
PARTS AND SERVICE REBUILD REMANUFACTURE TRANSMISSION AND DRIVELINE COMPONENTS,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=229): Transmission and driveline component rebuilding/remanufacturing constitutes vehicle repair labor and parts services, dir"
"INSPECTION, MAINTENANCE, REPAIR, REPLACEMENT AND NEW INSTALLATION OF DIRECT EXPANSION AIR CONDITIONING (DXAC) FOR O'HARE INTERNATIONAL AIRPORT",exact,Facilities Operations & Maintenance,031,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=229): This describes HVAC maintenance and repair services for airport facilities, directly matching NIGP class 031 (HVAC EQUIP"
Joint Procurement Referencing State of Illinois RFP 102080 For Staffing for Immigrant Shelters,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=226): This is a subgrant or pass-through funding arrangement referencing a state RFP for shelter staffing services, which fall"
AIRSIDE CONCRETE PAVEMENT AND RAMP REPLACEMENT AND CONCRETE CRUSHING O¿HARE AND MIDWAY INTERNATIONAL AIRPORTS,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=220): Airside concrete pavement replacement at airports is clearly airport facility construction and maintenance work, directl"
District Advisory Committee Petty Cash Reimbursements,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=218): Petty cash reimbursements to an advisory committee constitute pass-through funding disbursements from the city rather th"
"SMALL, MEDIUM AND LARGE PASSENGER AND CARGO VANS- GROUP A: FULL SIZE HEAVY DUTY CARGO VANS) & GROUP C: COMPACT CARGO VANS",exact,Vehicles & Fleet,070,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=216): This describes cargo vans for fleet use, which are vehicles classified under NIGP 070 (Trucks, Cab/Chassis) as they serv"
"WORK AND BUSINESS UNIFORMS AND APPAREL; DISCOUNT OFF MOST RECENT VF IMAGEWEAR, INC. CATALOGUE",exact,"Public Safety, Uniforms & PPE",200,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=216): Work uniforms and apparel for city employees map to uniform supplies; NIGP 200 covers firefighter and general uniform it"
COMPREHENSIVE INTEGRATED PEST CONTROL SERVICES FOR CHICAGO O'HARE AND MIDWAY INTERNATIONAL AIRPORTS,exact,"Landscaping, Grounds & Irrigation",910,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=214): Integrated pest management services match NIGP class 910 exactly, which covers IPM for facilities including airports.  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
DOG FOOD,exact,Animal Care & Veterinary,495,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=209): Dog food is animal sustenance; NIGP 495 covers animal litter and pet care consumables, the closest available classificat"
1190210A: Community Infrastructure Contract (CIC) - Area 3 - MBI-1/ Bidding Restricted to Mid-Sized Local Business Enterprises,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=206): This is a contract disbursement/pass-through funding mechanism to a business enterprise, not a specific commodity or ser"
"STARS, SHIELDS, BADGES AND MISCELLANEOUS EQUIPMENT",exact,"Public Safety, Uniforms & PPE",080,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=204): Direct match to NIGP 080 which covers badges, shields and stars for police department personnel."
"ComEd UDC Encumbrance 2022 $723,117.02",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=201): This is a utility cost encumbrance/obligation for ComEd (electric utility) and should be treated as pass-through funding"
1217524: Neighborhood Capital Improvement Contract (NCI) - South and West Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=199): This is a Neighborhood Capital Improvement Contract, which represents a pass-through funding mechanism for area-based de"
1217520: Neighborhood Capital Improvement Contract (NCI) - North Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=196): This is a neighborhood capital improvement contract representing pass-through funding disbursement to support community "
"1254622: ASPHALT SOUTH - ASPHALT PRIMERS, HOT/WARM MIX ASPHALT, HIGH PERFORMANCE/STANDARD COLD PATCH, HOT POUR JOINT SEALER MATERIALS, FURNISH & DELIVER",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=195): Hot mix asphalt and related paving materials are clearly road/street construction commodities matching NIGP 745 (HOT MIX  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Inspection, Cleaning, Maintenance and Repair of Interior and Exterior Horizontal and Vertical Metal Expansion Joints",exact,Construction & Trades Services,815,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=194): NIGP 815 directly covers inspection, cleaning, repair and replacement of expansion joints, matching all aspects of this   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1242399: TARGET MARKET-PUBLIC RIGHT OF WAY TREE PLANTING SERVICES - NORTH AREA,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=193): Tree planting services in public right-of-way are landscaping work, and code 988 (COMPREHENSIVE LANDSCAPE SERVICES) is t"
SHUTTLE BUS SERVICES AT CHICAGO O'HARE INTERNATIONAL AIRPORT,exact,Facilities Operations & Maintenance,909,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=186): Shuttle bus service is an operational support service at O'Hare airport, directly matching NIGP 909 which covers airport  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
MEDIAN AND BOULEVARD LANDSCAPE MAINTENANCE AND SERVICES- SOUTHWEST,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=186): Description explicitly references median and boulevard landscape maintenance services, directly matching NIGP 988 (Compr"
YEAR END 2024 INGRAM - T.G.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=178): The vague reference to 'YEAR END 2024 INGRAM' with no specific commodity details suggests this is a pass-through disburs"
MOPD-CDBG-HOMEMOD:,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=176): MOPD-CDBG-HOMEMOD is a Community Development Block Grant (CDBG) home modification program—a subgrant disbursement fundin"
Capital Program,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=176): Capital Program is a budgetary allocation mechanism for project funding, consistent with pass-through funding disburseme"
2024 Neighborhood Capital Improvement Contract (NCI) - Central Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=167): This is a neighborhood capital improvement contract disbursement, which represents pass-through funding from the city to"
2024 Neighborhood Capital Improvement Contract (NCI) - North Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=157): This is a capital improvement contract for neighborhood funding, which is a pass-through funding disbursement from the C"
MEDIAN AND BOULEVARD LANDSCAPE MAINTENANCE AND SERVICES NORTH REGION,exact,"Landscaping, Grounds & Irrigation",912,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=156): Median and boulevard landscape maintenance directly matches landscape and irrigation maintenance service for the North R"
Grant to Administer the Greencorps Chicago Green Job Training Program,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=156): This is a subgrant disbursement for a training program administered by an external entity (Greencorps Chicago), fitting "
LEGAL ADVERTISING SERVICES- CITY OF CHICAGO,exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=153): Legal advertising services for municipal notices is a public relations/advertising function that maps directly to NIGP 9"
"1254618: ASPHALT CENTRAL WEST - ASPHALT PRIMERS, HOT/WARM MIX ASPHALT, HIGH PERFORMANCE/STANDARD COLD PATCH, HOT POUR JOINT SEALER MATERIALS, FURNISH & DELIVER",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=150): Hot mix asphalt materials are construction commodities for roadway/pavement work; NIGP 745 explicitly covers hot mix asp  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
METEOROLOGICAL SERVICES,exact,Professional & Administrative Services,961,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=149): Meteorological services for weather forecasting are explicitly defined in NIGP class 961."
"MAINTENANCE, REPAIR & INSTALLATION OF ELECTRICAL EQUIPMENT - ELECTRICIAN FOREMAN - STRAIGHT TIME",exact,Construction & Trades Services,914,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=149): Electrician foreman labor for electrical equipment maintenance and repair falls under tradesmen services, directly match"
1244618: TARGET MARKET-PUBLIC RIGHT OF WAY TREE PLANTING SERVICES - SOUTH AREA,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=144): Tree planting services in public rights of way are comprehensive landscape services; NIGP 988 covers landscape services "
"PARTS, LABOR, REPAIR, MAINTENANCE ACCESSORIES AND SUPPLIES TO OPERATE CITY OWNED HELICOPTERS- GROUP B",exact,Vehicles & Fleet,035,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=136): Description explicitly references helicopter parts, labor, repair and maintenance; NIGP 035 covers helicopters."
1212070A: RECYCLING COLLECTION SERVICE (BLUE CART),exact,"Janitorial, Sanitation & Waste",968,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=132): Blue cart recycling collection is a regular waste management/disposal service, matching NIGP 968 (Disposal Services) whi"
2024 Neighborhood Capital Improvement Contract (NCI) - South and West Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=131): This is a subgrant disbursement for neighborhood capital improvements, representing pass-through funding rather than a d"
2024 Neighborhood Capital Improvement Contract (NCI) - Southeast Area,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=130): This is a subgrant disbursement for neighborhood capital improvements, not a direct procurement of goods or services."
LISC CHICAGO,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=127): LISC Chicago is a nonprofit organization that distributes grants and pass-through funding to community development initi"
"Grant Agreement, CARP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=124): CARP grant agreement is a subgrant disbursement requiring pass-through funding classification."
1235138: BULK ROCK SALT,exact,Chemicals & Water Treatment,192,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=122): Bulk rock salt is a de-icing chemical used for snow and ice removal, matching NIGP 192 (Ice and Snow Removal Chemicals)."
SELF LOADING WHEEL LIFT TOW TRUCKS AND CAR CARRIERS,exact,Vehicles & Fleet,070,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=113): Self-loading wheel lift tow trucks and car carriers are specialized commercial vehicles that fall under the trucks/chass"
Corrosion Control Product-Liquid Blended Phosphate,exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=111): Liquid phosphate product for corrosion control in water treatment systems matches Group B phosphoric acid chemical class"
Fund Reimbursement,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=111): Fund reimbursement is a pass-through disbursement, which falls under the Grants & Pass-Through Funding category with no "
"ANTI-ICER AND DE-ICER, RUNWAY (LIQUID) - POTASSIUM ACETATE DE-ICER",exact,Chemicals & Water Treatment,775,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=110): Potassium acetate de-icer is a runway deicing chemical that directly matches NIGP class 775 for anti-icer and de-icer ru"
LIQUID BLENDED PHOSPHATE,exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=108): Liquid blended phosphate is a chemical treatment product that matches NIGP class 180 (GROUP B - PHOSPHORIC ACID) and fal"
"853828: Water Pipes, Brass & Copper Replacement and Repair Parts",exact,Construction Materials,670,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=106): Brass and copper water pipes are replacement parts for water infrastructure systems; NIGP 670 (Pipe, Water) directly mat  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Promotional, Items, Discount From Most Recent ""ASI"" Catalogs for Price: $5.00 and Under, Inclusive of Paper Proof and Silk Screen Application (excluding wearables)",exact,"Office, Print & Marketing",037,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=105): Promotional items under $5 with silk screen application directly match NIGP 037 (Promotional Items - Misc), which explic"
CLASS 7 SINGLE REAR AXLE REFUSE TRUCKS (GROUP B),exact,Vehicles & Fleet,070,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=103): Refuse trucks are commercial vehicles for waste collection; class 70 covers trucks and similar vehicles broadly, making "
"Maintenance, Repair, Installation and Data Services for Runway/Roadway Weather Information Systems (RWIS)",exact,Professional & Administrative Services,918,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=103): RWIS maintenance and repair services directly align with NIGP 918 (Runway/Roadway Weather Information Systems), which co  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1198653: SAFETY LANE INSPECTION TESTING SERVICES,exact,Facilities Operations & Maintenance,941,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=103): Safety Lane Inspection Testing Services aligns with testing and inspection services for vehicle safety and compliance me  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1244584: TARGET MARKET-PUBLIC RIGHT OF WAY TREE PLANTING SERVICES ¿ CENTRAL AREA,exact,"Landscaping, Grounds & Irrigation",912,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=102): Tree planting services in public right-of-way are landscape maintenance activities; NIGP 912 covers landscape and irriga"
"LANDSIDE CONCRETE, MAINTENANCE, REPAIR AND REPLACEMENT AT O'HARE AND MIDWAY INTERNATIONAL AIRPORTS (SPEC #378933)",exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=102): Airport concrete maintenance and repair aligns with facilities operations, and NIGP 913 specifically covers bridge const  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
ALTARIS GOLD COMPUTER AIDED DISPATCH (CAD) SYSTEM MAINTENANCE (SEE PO 55127 ON THE DPSWeb FOR CONTRACT CONTENT),exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=102): Computer-aided dispatch system maintenance is a network service for public safety operations, matching NIGP 920 (Network"
"PARTS, LABOR, REPAIR, MAINTENANCE, ACCESSORIES AND SUPPLIES TO OPERATE CITY OWNED HELICOPTERS (GROUP A)",exact,Vehicles & Fleet,035,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=101): This describes helicopter operation and maintenance for the City of Chicago, directly matching NIGP class 035 (HELICOPTE"
"MOBILE DIGITAL VIDEO RECORDING SYSTEM, ACCESSORIES AND RELATED SERVICES",exact,"IT, Telecom & Audio/Visual",840,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=97): Mobile digital video recording systems match NIGP 840 (VIDEO SYSTEM, DIGITAL (IN CAR), COBAN - DVMS MAINTENANCE, SUPPORT"
Grant Agreement,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=97): Grant agreement indicates a subgrant disbursement with no specific commodity or service procured."
1193340: 31st Street Bridge Over Metra Electric & Illinois Central Railroad,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=96): Bridge construction and maintenance over railroad infrastructure aligns with class 913 (BRIDGE CONSTRUCTION - MAINTENANC"
"OMP Runway 9R-27L Extension - East, ORD(Spec 1190708)",exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=93): Airport runway extension project specification indicates major construction work requiring typical NIGP bridge/construct"
1223269: Structural and Non-Structural Tunnel and Bridge Repair at O'Hare and Midway International Airports (Airside and Landside),exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=93): This is a bridge construction and maintenance/repair service contract at O'Hare and Midway airports, directly matching N"
BUNKER GEAR MAINTENANCE (REFERENCE CONTRACT WITH CITY OF DALLAS BR0812),exact,"Public Safety, Uniforms & PPE",954,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=92): Bunker gear is firefighter protective equipment, and NIGP 954 explicitly covers laundry/cleaning/repair services for bun"
RUNWAY/ROADWAY WEATHER INFORMATION SYSTEMS -FORECASTING SERVICES AT O'HARE INTERNATIONAL AIRPORT,exact,Professional & Administrative Services,918,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=90): Description exactly matches NIGP 918 for runway/roadway weather information systems and forecasting services at O'Hare I"
